image,Accuracy,IoU,Precision,Recall,Dice,AUC
14690,0.8877716064453125,0.6407638788223267,0.8574509620666504,0.7171595692634583,0.7810555696487427,0.9243287755128043
12005,0.85382080078125,0.3099971115589142,0.8331397771835327,0.33051759004592896,0.47327908873558044,0.8075163478796333
12618,0.8595733642578125,0.5817768573760986,0.8207988739013672,0.6664237380027771,0.735599160194397,0.901451956274932
11828,0.8898773193359375,0.7399373054504395,0.9011673927307129,0.8052864670753479,0.8505333065986633,0.9535130071353279
2287,0.9041595458984375,0.6351013779640198,0.8438440561294556,0.7196840047836304,0.77683424949646,0.9508671677312288
12877,0.86151123046875,0.4419577121734619,0.5482837557792664,0.6950299739837646,0.6129967570304871,0.8821308530567873
10571,0.887969970703125,0.6266463398933411,0.9073038101196289,0.6695099472999573,0.7704764008522034,0.9429057649376273
8686,0.8888092041015625,0.6435803174972534,0.841304361820221,0.7325056791305542,0.7831443548202515,0.9337418275288716
9284,0.882965087890625,0.7552570104598999,0.9763633608818054,0.7693232893943787,0.860565721988678,0.9748970313942209
3406,0.7911224365234375,0.5788906812667847,0.8383302688598633,0.6516379117965698,0.7332878708839417,0.8792426249241594
13114,0.9331207275390625,0.6575513482093811,0.7956135272979736,0.7912005186080933,0.7934008836746216,0.965974935883652
4938,0.894561767578125,0.6044421792030334,0.8288069367408752,0.6906723976135254,0.7534608244895935,0.9320436887616179
2849,0.922760009765625,0.5340574383735657,0.7708250284194946,0.6348615884780884,0.69626784324646,0.9183799842387506
17852,0.9566650390625,0.8094726800918579,0.9402322173118591,0.853384256362915,0.894705593585968,0.9915212735778999
7577,0.8468170166015625,0.6427783370018005,0.922856867313385,0.6792765259742737,0.7825503349304199,0.9345271603228384
11098,0.8789215087890625,0.5610929727554321,0.6812626123428345,0.7608190178871155,0.718846321105957,0.9268504584863343
2071,0.899932861328125,0.6467927098274231,0.9613352417945862,0.6640676856040955,0.7855180501937866,0.965920949945894
8353,0.9180755615234375,0.6401956677436829,0.8649162650108337,0.7113179564476013,0.780633270740509,0.9604805352820652
7392,0.8709564208984375,0.6644313931465149,0.9576780200004578,0.6845310926437378,0.7983884215354919,0.9579213665768099
5472,0.8892974853515625,0.6094212532043457,0.8326590657234192,0.6944785118103027,0.757317304611206,0.9322258222199626
