image,Accuracy,IoU,Precision,Recall,Dice,AUC
10571,0.792449951171875,0.31867361068725586,0.8032828569412231,0.3456481695175171,0.48332446813583374,0.8356213116651068
11098,0.8260650634765625,0.46190521121025085,0.5548310279846191,0.7338933348655701,0.6319222450256348,0.8795186411756151
12005,0.4267425537109375,0.22386117279529572,0.23444902896881104,0.8321302533149719,0.3658277094364166,0.6901861487791187
12455,0.950775146484375,0.6859729290008545,0.9701266288757324,0.700775682926178,0.8137413263320923,0.982512250072987
12943,0.9222869873046875,0.6374315023422241,0.7898033261299133,0.7676611542701721,0.7785748243331909,0.9443939943071886
13528,0.8701019287109375,0.296446293592453,0.7840437293052673,0.32280418276786804,0.4573213458061218,0.8263370396265697
14225,0.749359130859375,0.0,0.0,0.0,0.0,0.678208669782992
15577,0.8967132568359375,0.5176370143890381,0.9213597178459167,0.5415641665458679,0.682161808013916,0.9274374339030792
1643,0.8873291015625,0.6358794569969177,0.9147984981536865,0.6759093999862671,0.7774160504341125,0.9251601948314884
16766,0.8956756591796875,0.6560345888137817,0.7386009693145752,0.8544096350669861,0.7922957539558411,0.9545989823493635
1816,0.817291259765625,0.5821905732154846,0.8497580885887146,0.648994505405426,0.7359297871589661,0.8752210422372064
2958,0.80450439453125,0.40018725395202637,0.568615734577179,0.5746554732322693,0.5716196298599243,0.8129345919216862
3882,0.9016876220703125,0.22091898322105408,0.9545454382896423,0.22326774895191193,0.36188966035842896,0.8471984801981389
4413,0.8413238525390625,0.5479678511619568,0.6676199436187744,0.7535417675971985,0.7079834938049316,0.88683301157831
525,0.9032135009765625,0.5719395279884338,0.8617183566093445,0.6297369599342346,0.7276864051818848,0.9036136235704972
8256,0.961395263671875,0.7488335371017456,0.8739427924156189,0.8395103216171265,0.8563805818557739,0.9796034234545351
8284,0.8984832763671875,0.5992892980575562,0.6632891297340393,0.8613227009773254,0.7494444847106934,0.9533743621276112
8353,0.8919219970703125,0.5556461811065674,0.7791853547096252,0.6594936847686768,0.7143605947494507,0.9107273044331792
9284,0.873016357421875,0.7388029098510742,0.9555492401123047,0.7650978565216064,0.8497834205627441,0.9605592249107354
9523,0.879241943359375,0.5485196113586426,0.8100935220718384,0.6294599175453186,0.7084438800811768,0.8841021110392947
